ID,Year,"First Name","Middle Name","Last Name",party,Level,Position,state,District,race_ethnicity
198090k,2020,Kate,,Brown,Democrat,"Statewide Executive",Governor,"Oregon - OR",,White
218865k,2020,Susan,,Bysiewicz,Democrat,"Statewide Executive","Lt. Governor","Connecticut - CT",,White
485143k,2020,Jacqueline,,Coleman,Democrat,"Statewide Executive","Lt. Governor","Kentucky - KY",,White
240699k,2020,Suzanne,,Crouch,Republican,"Statewide Executive","Lt. Governor","Indiana - IN",,White
681879k,2020,Pamela,,Evette,Republican,"Statewide Executive","Lt. Governor","South Carolina - SC",,White
559445k,2020,Peggy,,Flanagan,Democrat,"Statewide Executive","Lt. Governor","Minnesota - MN",,"Native American/Alaska Native/Native Hawaiian"
212298k,2020,Bethany,A.,Hall-Long,Democrat,"Statewide Executive","Lt. Governor","Delaware - DE",,White
342834k,2020,Kathy,C.,Hochul,Democrat,"Statewide Executive","Lt. Governor","New York - NY",,White
240306k,2020,Kay,E.,Ivey,Republican,"Statewide Executive",Governor,"Alabama - AL",,White
226804k,2020,Laura,J.,Kelly,Democrat,"Statewide Executive",Governor,"Kansas - KS",,White
628144k,2020,Eleni,,Kounalakis,Democrat,"Statewide Executive","Lt. Governor","California - CA",,White
378591k,2020,Michelle,,"Lujan Grisham",Democrat,"Statewide Executive",Governor,"New Mexico - NM",,Latina
252295k,2020,Kate,,Marshall,Democrat,"Statewide Executive","Lt. Governor","Nevada - NV",,Latina
212562k,2020,Janice,K.,McGeachin,Republican,"Statewide Executive","Lt. Governor","Idaho - ID",,White
212759k,2020,Janet,T.,Mills,Democrat,"Statewide Executive",Governor,"Maine - ME",,White
250197k,2020,Kristi,,Noem,Republican,"Statewide Executive",Governor,"South Dakota - SD",,White
200934k,2020,Jeanette,M.,Nunez,Republican,"Statewide Executive","Lt. Governor","Florida - FL",,Latina
220490k,2020,Sheila,Y.,Oliver,Democrat,"Statewide Executive","Lt. Governor","New Jersey - NJ",,Black
209225k,2020,Karyn,E.,Polito,Republican,"Statewide Executive","Lt. Governor","Massachusetts - MA",,White
250362k,2020,Dianne,I.,Primavera,Democrat,"Statewide Executive","Lt. Governor","Colorado - CO",,White
327244k,2020,Gina,M.,Raimondo,Democrat,"Statewide Executive",Governor,"Rhode Island - RI",,White
271917k,2020,Kimberly,,Reynolds,Republican,"Statewide Executive",Governor,"Iowa - IA",,White
561259k,2020,Juliana,,Stratton,Democrat,"Statewide Executive","Lt. Governor","Illinois - IL",,Black
208348k,2020,Gretchen,E.,Whitmer,Democrat,"Statewide Executive",Governor,"Michigan - MI",,White
